DateTime,AddedIPs,RemovedIPs
1534533723,80,80
1534534924,80,80
1534536123,80,80
1534536723,80,80
1534537324,80,80
1534537923,80,80
1534538523,80,80
1534539123,80,80
1534539723,80,80
1534540923,80,80
1534541523,80,80
1534542123,80,80
1534543324,80,80
1534544524,80,80
1534545124,80,80
1534545724,80,80
1534546323,80,80
1534546923,80,80
1534548123,80,80
1534549323,80,80
1534550523,80,80
1534551123,80,80
1534551723,80,80
1534552923,80,80
1534554123,80,80
1534555323,80,80
1534555924,80,80
1534556523,80,80
1534557724,80,80
1534558323,80,80
1534558923,80,80
1534560123,80,80
1534560724,80,80
1534561324,80,80
1534562523,80,80
1534563724,80,80
1534564323,80,80
1534564923,80,80
1534565524,80,80
1534566124,80,80
1534566723,80,80
1534567323,80,80
1534568523,80,80
1534569123,80,80
1534569725,80,80
1534570323,80,80
1534570923,80,80
1534572124,80,80
1534572723,80,80
1534573323,80,80
1534574523,80,80
1534575123,80,80
1534575723,80,80
1534576323,80,80
1534576923,80,80
1534577523,80,80
1534578123,80,80
1534579323,80,80
1534579923,80,80
1534580523,80,80
1534581123,80,80
1534581723,80,80
1534582923,80,80
1534583523,80,80
1534584124,80,80
1534584723,80,80
1534585324,80,80
1534586523,80,80
1534587123,80,80
1534587723,80,80
1534588924,80,80
1534589523,80,80
1534590123,80,80
1534591324,80,80
1534591923,80,80
1534592523,80,80
1534593123,80,80
1534593724,80,80
1534594924,80,80
1534596123,80,80
1534596723,80,80
1534597323,80,80
1534597924,80,80
1534598524,80,80
1534599724,80,80
1534600323,80,80
1534600923,80,80
1534601524,80,80
1534602124,80,80
1534603323,80,80
1534604523,80,80
1534605123,80,80
1534605723,80,80
1534606924,80,80
1534607523,80,80
1534608125,80,80
1534608724,80,80
1534609323,80,80
1534609924,80,80
1534610524,80,80
1534611124,80,80
1534611723,80,80
1534612324,80,80
1534612923,80,80
1534614123,80,80
1534614724,80,80
1534615324,80,80
1534615924,80,80
1534616523,80,80
1534617724,80,80
1534618323,80,80
1534618924,80,80
1534619524,80,80
1534620124,80,80
1534621324,80,80
1534621925,80,80
1534622523,80,80
1534623124,80,80
1534623723,80,80
1534624924,80,80
1534626124,80,80
1534627324,80,80
1534627923,80,80
1534628523,80,80
1534629723,80,80
1534630323,80,80
1534630924,80,80
1534631524,80,80
1534632123,80,80
1534632723,80,80
1534633324,80,80
1534633924,80,80
1534634523,80,80
1534635124,80,80
1534635723,80,80
1534636325,80,80
1534636924,80,80
1534637523,80,80
1534638123,80,80
1534639923,80,80
1534640524,80,80
1534641724,80,80
1534642923,80,80
1534644123,80,80
1534645323,80,80
1534645924,80,80
1534646523,80,80
1534647724,80,80
1534648923,80,80
1534650123,80,80
